country,iso3,original_bloc,population_2024,gdp_2022_ppp_2011_intl_usd,co2_2024_mt,cumulative_co2_through_2024_mt,loan_eligible,member_74_country_ldc_aosis_coalition,member_20_country_selected_coalition,co2_per_capita_2024_t,cumulative_co2_per_capita_t,gdp_per_capita_2022_ppp_2011_intl_usd
El Salvador,SLV,Rest of World,6338197,59270934820,9.0,264.6,False,False,False,1.4199621753631197,41.746887955675724,9351.387282534764
Equatorial Guinea,GNQ,Rest of World,1892523,20191378731,7.0,163.4,False,False,False,3.6987661444537268,86.33976971481985,10669.026865723692
Eswatini,SWZ,Rest of World,1242829,9594910875,1.0,44.6,False,False,False,0.8046159206133748,35.88587005935651,7720.218046891407
Faroe Islands,FRO,Rest of World,55419,,0.7,33.7,False,False,False,12.631047113805735,608.0946967646476,
French Polynesia,PYF,Rest of World,281816,,0.9,35.0,False,False,False,3.193573111533767,124.19450989297982,
Gabon,GAB,Rest of World,2538953,36035291983,5.4,307.1,False,False,True,2.1268609541019465,120.95537018605701,14192.973238575114
Georgia,GEO,Rest of World,3807668,70528605169,11.8,662.4,False,False,False,3.0990096825668623,173.96474692646524,18522.782230225956
Ghana,GHA,Rest of World,34427417,145431875240,21.0,426.5,False,False,False,0.6099789595019575,12.388382201313563,4224.3039970149375
Greenland,GRL,Rest of World,55864,,0.6,35.2,False,False,False,10.740369468709723,630.1016754976371,
Guatemala,GTM,Rest of World,18406366,146224632616,19.9,515.8,False,False,False,1.0811476855344504,28.02291337681756,7944.242367885111
Honduras,HND,Rest of World,10825704,49738252980,12.9,310.2,False,False,False,1.1916084164133807,28.654025641196174,4594.458982067124
Hong Kong,HKG,Rest of World,7414914,356690492875,33.3,1750.3,False,False,False,4.490948917276721,236.0512879852686,48104.46795134778
Iceland,ISL,Rest of World,393404,16019540441,3.8,171.7,False,False,False,9.659281552805767,436.44701121493426,40720.32933320454
Indonesia,IDN,Rest of World,283487933,3500093638879,812.2,17419.9,False,False,False,2.865024946229369,61.44847089487932,12346.534830740044
Iran,IRN,Rest of World,91567737,1572209055082,792.6,21810.6,False,False,False,8.655887171264263,238.19088157655355,17169.901829964412
Iraq,IRQ,Rest of World,46042015,527639326800,233.6,5350.7,False,False,False,5.073626773285227,116.21341941702595,11459.952975559389
Israel,ISR,Rest of World,9387015,336722563455,52.6,2607.6,False,False,False,5.6034852399831045,277.7879869159685,35871.101032117236
Japan,JPN,Rest of World,123753041,4774494846664,961.9,69612.3,False,False,False,7.772738287699936,562.5098133952118,38580.828463552665
Jordan,JOR,Rest of World,11552885,99281825499,23.2,793.4,False,False,False,2.0081564042228415,68.6754866857932,8593.682487015149
Kazakhstan,KAZ,Rest of World,20592574,503634062609,287.0,14937.4,False,False,True,13.937062943175535,725.3779930571088,24457.071884699795
Kenya,KEN,Rest of World,56432946,190362153076,21.2,551.3,False,False,False,0.37566707929796894,9.769116076272184,3373.2450025912167
Kuwait,KWT,Rest of World,4934508,218961227193,129.5,3875.9,False,False,False,26.243751150064,785.4683790156993,44373.466856878134
Kyrgyzstan,KGZ,Rest of World,7186014,31703003147,11.8,883.2,False,False,False,1.6420786266211003,122.90541042641999,4411.764734524591
Lebanon,LBN,Rest of World,5805962,48741710654,15.7,794.7,False,False,False,2.7041169060355545,136.8765417341691,8395.113618380554
Libya,LBY,Rest of World,7381029,91444480945,65.3,2489.9,False,False,False,8.847004936574562,337.3377885386983,12389.123649968047
Liechtenstein,LIE,Rest of World,39895,,0.1,10.0,False,False,False,2.5065797719012406,250.6579771901241,
Macao,MAC,Rest of World,720270,,1.1,57.5,False,False,False,1.527205075874325,79.83117442070335,
Malaysia,MYS,Rest of World,35557670,877584198429,290.2,7042.4,True,False,True,8.16138965235911,198.05572187378982,24680.587857106497
Mexico,MEX,Rest of World,130861001,2033437602787,461.0,22015.9,False,False,True,3.5228218986342617,168.2388170024773,15538.912183523646
Moldova,MDA,Rest of World,3034967,23827554273,5.3,1358.4,False,False,False,1.7463122333784848,447.58312034364786,7851.009343099941
Monaco,MCO,Rest of World,38657,,,,False,False,False,,,
Mongolia,MNG,Rest of World,3475541,44809463232,44.7,861.5,False,False,False,12.861307059821765,247.8750790164754,12892.80236717104
Montenegro,MNE,Rest of World,638481,12774399882,2.4,122.1,False,False,True,3.758921565402886,191.23513463987183,20007.486333970784
Montserrat,MSR,Rest of World,4414,,0.0,1.7,False,False,False,0.0,385.13819664703215,
Morocco,MAR,Rest of World,38081176,311654947615,69.1,2015.7,False,False,False,1.814544802923103,52.931663665008664,8183.963321274532
Namibia,NAM,Rest of World,3030127,21858730428,3.5,87.2,False,False,False,1.155067097847714,28.777671694948758,7213.80009088728
New Caledonia,NCL,Rest of World,292655,,5.3,171.8,False,False,False,18.11006133501905,587.0393466709949,
New Zealand,NZL,Rest of World,5213942,200602760076,32.5,2012.3,False,False,False,6.23328759698516,385.9459886588688,38474.29834777602
Nicaragua,NIC,Rest of World,6916136,32764782125,5.6,197.7,False,False,False,0.8097006767940943,28.585325678962935,4737.440403861347
